anon_polygon_id,start,end,duration_days,severity,min_zscore,mean_zscore,cause,cause_confidence,climatology_source,explanation
AOI-0014,2023-08-05,2023-08-15,11,suppression,-1.14,-1.01,non_weather,0.5,polygon,"Осадков 21 мм при норме 26 мм (81 процентов), температура отличается от нормы на 1.5 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 11 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0014,2024-06-10,2024-07-30,51,suppression,-1.82,-1.21,harvest,0.7,polygon,"Индекс обвалился на 2.3 стандартных отклонения и после этого 51 дней держится на низком уровне. День года 162 попадает в характерное окно уборки для культуры «озимая пшеница» (159-234). Скорее всего, это уборка или скашивание, а не повреждение посева."
AOI-0014,2025-04-13,2025-06-17,66,critical,-2.85,-1.5,non_weather,0.5,polygon,"Осадков 37 мм при норме 52 мм (71 процентов), температура отличается от нормы на -0.1 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 66 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0016,2025-04-15,2025-06-06,53,suppression,-1.76,-1.19,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0017,2019-09-18,2019-09-23,6,critical,-2.0,-1.65,abrupt,0.6,polygon,"Резкое падение индекса на 2.4 стандартных отклонения за декаду. Похоже на одномоментное событие: уборку, потраву или механическое повреждение посева."
AOI-0017,2020-04-01,2020-04-24,24,suppression,-1.31,-1.11,unknown,0.2,polygon,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля."
AOI-0017,2021-04-01,2021-05-13,43,suppression,-1.97,-1.16,unknown,0.2,polygon,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля."
AOI-0017,2023-10-08,2023-10-22,15,suppression,-1.29,-1.19,unknown,0.2,polygon,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля."
AOI-0017,2024-04-30,2024-10-31,185,critical,-4.72,-2.27,unknown,0.2,polygon,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля."
AOI-0017,2025-06-13,2025-10-18,128,critical,-3.07,-1.97,unknown,0.2,polygon,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля."
AOI-0018,2025-06-06,2025-07-03,28,suppression,-1.71,-1.05,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0022,2025-06-27,2025-08-04,39,suppression,-1.33,-1.05,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0022,2025-08-21,2025-09-09,20,suppression,-1.11,-0.92,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0023,2025-04-27,2025-05-06,10,suppression,-1.14,-1.05,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0023,2025-07-27,2025-08-06,11,suppression,-1.17,-1.04,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0023,2025-08-24,2025-09-12,20,suppression,-1.19,-0.97,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0024,2025-04-13,2025-05-24,42,suppression,-1.23,-0.99,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0024,2025-10-08,2025-10-14,7,suppression,-1.44,-1.36,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0025,2025-04-19,2025-05-24,36,suppression,-1.22,-1.13,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0026,2025-07-16,2025-09-29,76,suppression,-1.58,-1.28,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0027,2025-07-08,2025-07-15,8,suppression,-1.03,-1.02,unknown,0.14,crop,"Отклонение от нормы устойчивое, но погодных данных на этот период нет, поэтому версию причины проверить не на чем. Нужен осмотр поля. Внимание: у этого поля нет собственной истории наблюдений, норма взята средняя по культуре. Оценка ориентировочная, глубина отклонения может быть завышена или занижена."
AOI-0028,2011-04-01,2011-04-19,19,suppression,-1.21,-1.08,cold,0.65,polygon,"Средняя температура за период всего 7.2 градуса, это на 3.3 ниже нормы. Похолодание пришлось на фазу активного роста (день года 91): набор биомассы приостановился. Такое угнетение обычно обратимо, но сдвигает развитие на одну-две недели."
AOI-0028,2011-05-25,2011-06-05,12,suppression,-1.53,-1.24,non_weather,0.35,polygon,"Осадков 47 мм при норме 67 мм (69 процентов), температура отличается от нормы на 0.8 градуса. Ни один погодный порог не превышен, хотя осадков заметно меньше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0028,2013-05-01,2013-05-30,30,suppression,-1.44,-1.15,heat,0.6,polygon,Средняя температура за период выше нормы на 3.6 градуса при достаточном увлажнении. Вероятен температурный стресс.
AOI-0028,2019-04-02,2019-07-03,93,critical,-3.19,-1.51,drought,0.7,polygon,"Осадков за 30 дней выпало 11 мм при норме 45 мм, это 25 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0028,2019-09-18,2019-09-27,10,suppression,-1.66,-1.37,cold,0.35,polygon,"Температура за период на 4.6 градуса ниже нормы, но это конец сезона (день года 261). Для созревающего посева холод означает ускоренное естественное отмирание, а не угнетение. Отдельного вмешательства обычно не требует."
AOI-0028,2021-04-10,2021-04-18,9,suppression,-1.49,-1.29,excess_water,0.55,polygon,Осадков выпало в 2.6 раза больше нормы. Возможно переувлажнение и подтопление посевов.
AOI-0028,2021-05-01,2021-06-03,34,suppression,-1.81,-1.33,non_weather,0.35,polygon,"Осадков 115 мм при норме 64 мм (179 процентов), температура отличается от нормы на -0.2 градуса. Ни один погодный порог не превышен, хотя осадков заметно больше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0028,2022-09-16,2022-09-22,7,suppression,-1.8,-1.44,non_weather,0.35,polygon,"Осадков 35 мм при норме 20 мм (175 процентов), температура отличается от нормы на 0.9 градуса. Ни один погодный порог не превышен, хотя осадков заметно больше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
